reg:0.001	98.66,98.95		80.62,80.88
reg:0.002	98.66,98.92		80.62,88.61
reg:0.003	98.66,98.98		80.62,89.72
reg:0.004	98.66,98.99		80.62,90.67
reg:0.005	98.66,98.51		80.62,83.49
reg:0.006	98.66,98.92		80.62,91.53
reg:0.007	98.66,98.66		80.62,93.17
reg:0.008	98.66,98.71		80.62,94.08
reg:0.009	98.66,98.54		80.62,94.52
reg:0.010	98.66,98.37		80.62,87.27
reg:0.011	98.66,98.57		80.62,94.77
reg:0.012	98.66,98.30		80.62,87.56
reg:0.013	98.66,98.26		80.62,92.22
reg:0.014	98.66,98.29		80.62,91.60
reg:0.015	98.66,98.21		80.62,94.74
reg:0.016	98.66,98.17		80.62,94.36
reg:0.017	98.66,98.20		80.62,95.00
reg:0.018	98.66,98.06		80.62,95.28
reg:0.019	98.66,98.01		80.62,95.82
reg:0.020	98.66,98.03		80.62,91.89
